Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,Link
R2,301010251,1,
"R3,R4,R5",301010300,3,
R1,301010311,1,
R6,301010299,1,
"C3,C4",302010139,2,
"D2,D1",304090046,2,
D3,304090057,1,
U3,XC6206P332MR-G,1,https://www.digikey.com/en/products/detail/torex-semiconductor-ltd/XC6206P332MR-G/7386004
U2,CN3166,1,https://jlcpcb.com/partdetail/ShangHai_ConsonanceElec-CN3166/C7435233
"K1,K2",311020024,2,
USB1,320010003,1,
U1,ATXMEGA128A1-AUR,1,https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATXMEGA128A1-AUR/?qs=sGAEpiMZZMteY%252BlXHTQ5JDAjeyhgM5ft
